region,year,group,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop
Other Asia,2000,8,934.6667,519,685.3436,969.785,124.8034
Other Asia,2005,8,1039,579,770.0102,1164.596,136.5148
Other Asia,2010,8,1093.333,620,944.2427,1488.287,145.4783
Mature economies,1989,8,9500.667,6203,4605.633,8135.713,8.981446
Mature economies,1994,8,5551.333,3581,3475.25,6619.904,8.472313
Mature economies,1997,8,3007.333,1864,3107.923,6188.838,8.256786
Mature economies,2003,8,4123.667,2473,4767.697,8547.487,7.823557
Mature economies,2007,8,5368.667,3284,6625.671,11238.41,7.623395
"Russia, C. Asia, SE Europe",2007,8,10558,5695,5676.869,7198.19,3.774164
"Russia, C. Asia, SE Europe",1993,8,3643.667,2452,2102.666,5283.922,10.239
"Russia, C. Asia, SE Europe",1998,8,3673,2167,2148.884,5277.205,10.069
"Russia, C. Asia, SE Europe",2002,8,4992.333,3042,3337.378,6443.088,9.873968
L. America & Carib.,1993,8,7103,2915,3616.19,5071.472,0.205
L. America & Carib.,1998,8,5381.333,2297,3363.584,4787.555,0.2385
L. America & Carib.,1990,8,4007,1989,1888.57,3074.127,6.36347
L. America & Carib.,1993,8,5606.333,2435,1947.579,3199.234,7.138204
L. America & Carib.,1997,8,6201.667,2564,2055.116,3511.608,7.971237
L. America & Carib.,2002,8,5402,2202,2121.047,3571.294,8.815911
L. America & Carib.,2008,8,6054.333,2572,2362.293,4172.334,9.618466
L. America & Carib.,1988,8,7743.333,3069,3701.521,7519.343,144.4704
L. America & Carib.,1993,8,6619.667,2654,3706.935,7232.882,156.9858
L. America & Carib.,1998,8,9073,3643,4233.568,7787.395,169.4097
L. America & Carib.,2003,8,8231.667,3374,4402.188,7990.104,181.6331
L. America & Carib.,2008,8,9984,4269,5091.564,9583.866,191.5432
L. America & Carib.,1996,8,28118.67,14330,7748.7,15826.28,0.265941
Other Asia,2003,8,2446,1143,1241.482,3128.845,0.624431
Other Asia,2007,8,2599,1362,1343.761,4198.605,0.701363
Sub-Saharan Africa,1993,8,3801,1533,1932.32,7188.371,1.506037
Sub-Saharan Africa,1992,8,751.6667,297,565.6217,725.9834,3.165869
Sub-Saharan Africa,2003,8,1028,501,530.1516,671.1033,3.890075
Sub-Saharan Africa,2008,8,1452.333,615,547.9058,699.5005,4.237961
Mature economies,1987,8,25077,14401,13931.71,26127.94,26.895
Mature economies,1994,8,25406.67,14694,14533.48,27243.91,28.83341
Mature economies,2000,8,26850.33,15393,16750.73,32446.79,30.2479
Mature economies,2004,8,29466.33,16556,18159.35,34343.67,31.676
Mature economies,2008,8,39114.33,21807,20279.18,35948.06,33.3191
Mature economies,1994,8,31553.33,17952,18250.74,32118.1,6.938265
Mature economies,2000,8,31919,17833,19631.14,34713.24,7.110001
Mature economies,2004,8,31118.67,17776,20017.94,35087.45,7.339001
Mature economies,2008,8,36622.33,22084,20714.3,38159.63,7.647675
L. America & Carib.,1987,8,7024.667,2939,3125.491,5939.544,12.73341
L. America & Carib.,1992,8,8750.667,3738,4269.229,8107.675,13.92939
L. America & Carib.,1998,8,11526.33,4869,6012.708,10905.75,15.03916
L. America & Carib.,2003,8,11532.33,4939,6384.96,11697.67,15.95979
L. America & Carib.,2009,8,13437,5924,8226.071,13832.49,16.79559
China,1987,8,829.6667,493,452.4019,958.3701,1101.63
China,1993,8,1133.667,589,649.8622,1507.322,1178.44
China,1998,8,1629.667,853,895.1902,2325.093,1241.935
China,2001,8,2091.667,995,1079.549,2867.961,1288.4
China,2007,8,4531,2088,1621.818,5238.677,1324.655
Sub-Saharan Africa,1988,8,2229,1190,1144.822,2008.5,11.69432
Sub-Saharan Africa,1993,8,1958.667,1043,961.8721,1723.619,13.82023
Sub-Saharan Africa,1998,8,2175,1063,1153.642,1932.857,15.87856
Sub-Saharan Africa,2002,8,2623.333,1213,1030.546,1722.191,17.4555
Sub-Saharan Africa,2008,8,2091.333,1052,1012.668,1657.088,18.98701
Sub-Saharan Africa,1996,8,1939,981,975.1477,1693.473,14.9762
Sub-Saharan Africa,2001,8,2627,1338,1133.641,1893.254,16.78337
Sub-Saharan Africa,2007,8,2685,1386,1327.882,2029.386,18.75878
Sub-Saharan Africa,2005,8,541.6667,261,158.4351,276.9935,54.09825
Sub-Saharan Africa,2008,8,373,179,156.2645,303.1931,62.4749
Sub-Saharan Africa,2005,8,1398.333,649,702.312,3381.188,3.365171
L. America & Carib.,1988,8,6375.333,2785,3809.665,5784.036,31.91325
L. America & Carib.,1992,8,6469,2870,3921.717,6303.646,35.14622
L. America & Carib.,1999,8,5926.667,2443,3944.932,6445.909,38.4391
L. America & Carib.,2003,8,4811.667,2003,4158.691,6830.741,41.73191
L. America & Carib.,2008,8,7225.667,3019,4900.486,8250.394,45.00578
Sub-Saharan Africa,2004,8,2895.333,1133,766.3553,1037.64,0.609271
Sub-Saharan Africa,2001,8,3241.333,1455,1173.076,2280.345,0.460031
L. America & Carib.,1989,8,5049,2403,4005.901,6159.137,2.916566
L. America & Carib.,1993,8,6066,2892,4650.566,6973.318,3.303412
L. America & Carib.,1998,8,7345.667,3502,5145.337,7738.63,3.740578
L. America & Carib.,2003,8,8380.333,3809,5140.993,8483.319,4.160438
L. America & Carib.,2008,8,9861.667,4512,5977.635,10391.86,4.522124
Mature economies,1990,8,10772.67,6221,6925.127,18091.32,0.736531
Mature economies,1996,8,10693,6307,9042.015,20147.55,0.908059
Mature economies,2008,8,13627.33,8299,12801.44,26456.16,1.077001
Mature economies,1993,8,8337,5143,6511.183,14537.22,10.32986
Mature economies,1996,8,9457.667,5944,8056.019,16480.15,10.29437
Mature economies,2002,8,10481,6484,8934.317,18382.84,10.20736
Mature economies,2008,8,10501.67,6679,10969.97,24359.49,10.42434
Mature economies,1989,8,22866.33,13913,14466.11,24801.77,78.14462
Mature economies,1994,8,22524.33,13347,16059.07,27431.27,81.15636
Mature economies,1998,8,23237.67,13757,16740.33,28916.54,82.04719
Mature economies,2005,8,28344.67,16340,17669.6,31114.53,82.53418
Mature economies,2008,8,26086.67,15288,18087.38,33828.88,82.1101
M. East & N. Africa,2002,8,2185.333,1122,922.7839,1758.414,0.77964
Mature economies,1987,8,20166.33,12610,12008.44,25000.28,5.129516
Mature economies,1992,8,19190.67,12325,12317.13,26127.51,5.188628
Mature economies,1997,8,19825,12385,13644.27,29481.61,5.304219
Mature economies,2004,8,22589.33,14526,14620.07,32490.37,5.390574
Mature economies,2008,8,22397.67,14047,15882.46,34123.02,5.493621
L. America & Carib.,1986,8,3615.333,1687,2411.365,3750.344,6.907171
L. America & Carib.,1992,8,6104.667,2732,2880.234,4110.206,7.631076
L. America & Carib.,1997,8,7203,3311,3400.485,5029.609,8.32468
L. America & Carib.,2003,8,6404,2831,3836.836,5936.133,8.995398
L. America & Carib.,2008,8,6522,2984,5598.259,7727.969,9.664948
M. East & N. Africa,1988,8,2948,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1995,8,2640.667,1441,1675.009,5625.911,27.1699
L. America & Carib.,1987,8,5034.333,2284,2970.748,5172.474,9.792658
L. America & Carib.,1994,8,5041.333,2184,3002.291,5574.905,10.95318
L. America & Carib.,1998,8,4379,1980,3155.313,5766.401,11.95959
L. America & Carib.,2003,8,5747,2464,3359.626,5848.516,12.98799
L. America & Carib.,2008,8,6793,3054,4014.424,7127.987,14.05674
M. East & N. Africa,1990,8,2124.333,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1995,8,2006,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1999,8,2387.667,1346,2343.407,4000.799,65.3092
M. East & N. Africa,2004,8,2371.333,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2008,8,2354,1368,2927.243,5216.092,78.3233
Mature economies,1990,8,12291.67,7030,11104.36,19776.66,38.71585
Mature economies,1995,8,16203.67,8706,11614.62,21021.83,39.1894
Mature economies,2000,8,19845.67,10976,13890.95,25147.13,39.72111
Mature economies,2005,8,18431.67,10210,15291.83,27392.04,42.00452
Mature economies,2008,8,18180,10725,15591.52,28353.04,45.55572
Mature economies,1993,8,6350.667,3287,3123.149,7427.316,1.494128
Mature economies,1998,8,6303.667,3481,4789.078,10397.02,1.386156
Mature economies,2008,8,10434,6151,9569.607,18941.29,1.340675
Sub-Saharan Africa,1995,8,1061.333,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1999,8,870,513,318.6876,510.418,62.17417
Sub-Saharan Africa,2005,8,1044.667,617,441.7157,636.0687,70.78401
Mature economies,1987,8,13930.33,9268,10371.71,21054.04,4.946481
Mature economies,1991,8,16112.67,10592,10854.11,21634.1,5.066447
Mature economies,1998,8,17577.33,10807,11803.93,25085.19,5.153498
Mature economies,2004,8,21171.67,12873,14018.21,29940.15,5.213014
Mature economies,2008,8,20988,12838,15634.43,33443.05,5.313399
Other Asia,2002,8,2323.333,1092,1845.041,4067.534,0.817339
Other Asia,2008,8,3427,1692,3050.746,4300.332,0.843651
Mature economies,1989,8,18701.33,10674,13408.87,23768,57.66893
Mature economies,1995,8,24094.33,13778,13952.3,25234.38,59.06559
Mature economies,2000,8,21471.67,12450,15433.54,28209.95,60.29915
Mature economies,2005,8,25295,14615,16468.73,29452.67,62.24227
Mature economies,2008,8,28622.67,16229,16957.08,30271.66,64.37052
Sub-Saharan Africa,2005,8,3590.333,1803,2503.642,13014.26,1.317484
Mature economies,1986,8,15710,8978,11262.25,20009.89,56.92833
Mature economies,1991,8,20497.33,11087,13095.71,22047.5,57.71862
Mature economies,1998,8,22365,12425,16337.31,27021.48,58.48714
Mature economies,2004,8,31479.67,16729,20448.26,32260,59.56626
Mature economies,2008,8,35155,19693,20970.93,33717.89,61.39352
"Russia, C. Asia, SE Europe",1998,8,3058,1637,1970.739,2351.799,4.4873
"Russia, C. Asia, SE Europe",2003,8,2372.667,1215,2085.539,3135.332,4.3289
"Russia, C. Asia, SE Europe",2008,8,2681,1357,3232.064,4516.338,4.3837
Sub-Saharan Africa,1988,8,1067,578,598.9019,882.0447,14.01095
Sub-Saharan Africa,1991,8,1112.667,584,615.3401,928.4812,16.1055
Sub-Saharan Africa,1998,8,1485.667,752,592.1239,1033.043,18.28111
Sub-Saharan Africa,2005,8,1942.333,963,813.0128,1208.014,20.6109
Sub-Saharan Africa,1994,8,1049,501,445.9904,592.6106,6.871525
Sub-Saharan Africa,2003,8,1088,556,592.0736,712.1069,8.743954
Sub-Saharan Africa,2007,8,1324,682,631.0934,976.73,9.55911
Sub-Saharan Africa,1992,8,524.6667,245,915.5083,1527.586,1.064522
Sub-Saharan Africa,1998,8,1129,505,938.5665,1489.041,1.225044
Sub-Saharan Africa,2003,8,2108,983,931.0798,1579.88,1.417818
Sub-Saharan Africa,1993,8,1440,673,477.1369,1232.666,1.080767
Sub-Saharan Africa,2002,8,1066,581,385.2069,1026.08,1.314795
Mature economies,1988,8,16199.33,9085,10454.34,16890.2,10.03698
Mature economies,1993,8,17139,9774,11466.37,17177.39,10.46553
Mature economies,2000,8,14977.33,8326,13041.55,20316.73,10.83488
Mature economies,2005,8,17319,9707,15830.1,24348.4,11.02351
Mature economies,2008,8,16935.33,9658,17601.21,26113.39,11.23709
L. America & Carib.,1989,8,2954.333,1203,2479.585,3306.024,8.525211
L. America & Carib.,1998,8,4937,2110,2893.782,3856.71,10.72315
L. America & Carib.,2003,8,4686.333,1984,3063.149,4008.121,12.09858
L. America & Carib.,2006,8,5652.333,2399,3222.774,4175.756,13.69085
L. America & Carib.,1998,8,4423.333,2162,1329.717,2463.188,0.730458
Mature economies,1991,8,25699.67,11965,12696.29,24839.7,5.901
Mature economies,1998,8,22751.67,10954,14569.18,27402.18,6.5437
L. America & Carib.,1989,8,2799,1142,1717.333,2731.62,4.618245
L. America & Carib.,1993,8,3377.333,1473,1729.395,2838.843,5.303798
L. America & Carib.,1998,8,4068,1701,1782.485,2902.6,5.963008
L. America & Carib.,2003,8,4406.667,1805,1935.218,3027.397,6.609337
L. America & Carib.,2008,8,6249.333,2506,2317.245,3640.919,7.302742
"Russia, C. Asia, SE Europe",1998,8,9937,6156,6417.119,11848.26,4.501
"Russia, C. Asia, SE Europe",2004,8,14337.67,8592,7764.496,14712.48,4.44
"Russia, C. Asia, SE Europe",2008,8,16452,9201,8948.787,17300.34,4.434
L. America & Carib.,2001,8,1631.667,666,977.7759,1106.416,9.075399
Mature economies,1989,8,4239.333,2684,6499.63,13455.33,10.59649
Mature economies,1993,8,6866.667,4173,6346.772,11158.44,10.35752
Mature economies,1999,8,6264,4005,6563.188,13085.22,10.26657
Mature economies,2005,8,9096.667,5332,8790.137,16974.56,10.12955
Mature economies,2008,8,7842.667,4847,9010.125,17900.93,10.03819
Other Asia,1987,8,729,433,963.263,1675.168,178.0068
Other Asia,1993,8,883.3333,523,1261.127,2396.448,193.5256
Other Asia,1999,8,957.3333,571,1633.932,2533.089,207.8393
Other Asia,2005,8,1633.333,905,1873.575,3102.284,221.8392
Other Asia,2009,8,2468,1303,2146.427,3696.297,234.9512
India,1987,8,942,538,694.1288,1052.002,837.6996
India,1993,8,965.3333,560,780.9203,1271.67,928.226
India,1997,8,1009.333,537,894.5415,1514.754,1018.471
India,2004,8,1148.667,642,1135.705,2051.632,1105.886
India,2007,8,1338,741,1398.997,2573.136,1190.864
Mature economies,1987,8,10472.67,5676,8159.454,15347.36,3.524949
Mature economies,1994,8,10789,6270,10292.14,20905.24,3.576261
Mature economies,1999,8,23826,12362,13757.16,30991.57,3.712696
Mature economies,2005,8,23751,13479,16946.91,38896.39,3.996521
Mature economies,2008,8,23488,13779,17821.88,39294.29,4.425683
M. East & N. Africa,1990,8,4963,2429,2458.601,6200.669,51.81074
M. East & N. Africa,1994,8,5693.333,2803,2701.579,6660.562,57.94044
M. East & N. Africa,1998,8,6231.333,3023,2851.131,7245.311,63.13303
M. East & N. Africa,2005,8,4522,2372,4043.637,9228.236,68.0617
Mature economies,2004,8,22321.67,13836,17762.91,33055.9,0.289521
Mature economies,2008,8,40276,24273,18621.34,36655.51,0.317414
Mature economies,1986,8,11698.33,6303,8414.497,16430.94,4.442
Mature economies,1992,8,13734.33,7496,9510.283,18484.96,5.261
Mature economies,1997,8,14827.67,7816,10430.11,21276.33,5.971
Mature economies,2001,8,16984.33,8858,11704.31,22621.53,6.6897
Mature economies,2008,8,17955.67,9114,12833.16,25646.28,7.3088
Mature economies,1986,8,13889.33,7943,11681.6,20977.62,56.62929
Mature economies,1991,8,16141,9414,13705.99,24093.96,56.83182
Mature economies,1998,8,21102,11542,15022,26374.01,56.90674
Mature economies,2004,8,20271.67,10944,15835.03,28226.88,57.60466
Mature economies,2008,8,20646,11983,15840.81,28453.56,59.83218
L. America & Carib.,1988,8,4657.667,2298,2870.981,5539.474,2.3564
L. America & Carib.,1993,8,2755.333,1503,3590.289,6984.22,2.441024
L. America & Carib.,1999,8,6351.333,3088,3934.179,6696.975,2.55678
L. America & Carib.,2004,8,7049.667,3352,4707.688,7184.084,2.6257
M. East & N. Africa,1986,8,4948.333,2658,3083.631,4310.034,2.948
M. East & N. Africa,1992,8,4264.333,2090,2209.723,3378.48,3.905931
M. East & N. Africa,1997,8,3389,1819,2131.778,3479.344,4.5974
M. East & N. Africa,2002,8,4064.333,2107,2514.714,3807.527,5.164
M. East & N. Africa,2008,8,4316,2394,3436.55,5082.932,5.787
Mature economies,1988,8,20024.33,12709,12993.79,24021.93,122.613
Mature economies,1993,8,23069.33,14596,14658.46,27453.95,124.536
Mature economies,1998,8,23387,15035,15143.38,28410.86,126.41
Mature economies,2002,8,25172.33,15621,15467.11,28944.65,127.718
Mature economies,2008,8,20602,11903,15711.36,31322.7,127.704
"Russia, C. Asia, SE Europe",1993,8,2709,1540,3536.838,5431.076,16.33042
"Russia, C. Asia, SE Europe",1996,8,3010,1641,2117.928,4590.866,15.0713
"Russia, C. Asia, SE Europe",2003,8,2835,1679,3046.452,7350.814,14.90902
Sub-Saharan Africa,1992,8,2658.333,1113,844.002,1338.895,25.84644
Sub-Saharan Africa,1997,8,2360,1169,888.9336,1303.462,29.69641
Sub-Saharan Africa,2007,8,580.6667,344,1008.467,1455.31,38.45542
"Russia, C. Asia, SE Europe",1993,8,4759.667,2073,1274.197,1645.809,4.5167
"Russia, C. Asia, SE Europe",1998,8,1449,781,941.7217,1416.073,4.769
"Russia, C. Asia, SE Europe",2004,8,2020.333,1103,1197.055,1743.927,5.0433
"Russia, C. Asia, SE Europe",2008,8,3021.667,1610,1716.68,2026.926,5.3187
Other Asia,1994,8,1302.333,678,585.6285,783.3454,10.53924
Other Asia,1997,8,1184.333,586,630.1472,859.5623,11.98613
Other Asia,2004,8,1617.667,805,926.5114,1348.086,13.02417
Other Asia,2008,8,1786.667,937,1242.541,1898.139,13.82264
Mature economies,1988,8,12650,7028,5194.2,9977.137,41.975
Mature economies,1993,8,16899.67,9814,7266.156,13615.12,44.056
Mature economies,1999,8,15539.33,9359,8707.528,17410.07,46.287
Mature economies,2003,8,19706.33,11132,10535.59,21070.53,47.859
Mature economies,2008,8,22384.67,12399,11746.18,25338.65,48.949
Other Asia,2002,8,1086,613,966.8489,1468.583,5.582028
Other Asia,2008,8,1414.667,755,1151.496,2041.053,6.022001
Sub-Saharan Africa,2007,8,615.6667,326,511.4747,401.9072,3.65846
L. America & Carib.,1995,8,2380.333,1183,4662.966,7970.636,0.139908
Other Asia,1990,8,1615.667,916,1183.999,2029.215,16.599
Other Asia,1995,8,1839.667,996,1503.089,2475.967,17.646
Other Asia,1999,8,1573.667,897,1733.993,2842.12,18.784
Other Asia,2002,8,2387,1201,1965.65,3105.688,19.173
Other Asia,2006,8,2813,1428,2268.431,3781.232,20.217
Sub-Saharan Africa,1986,8,2257,951,773.491,837.0825,1.5799
Sub-Saharan Africa,1993,8,1836.667,748,706.6865,958.9713,1.729896
Sub-Saharan Africa,2002,8,1976,869,870.1825,1131.853,2.028976
Mature economies,1993,8,2665.667,1498,5092.127,7809.437,3.682613
Mature economies,2005,8,6594,3549,8273.53,14197.22,3.454205
Mature economies,2008,8,9858,5584,11043.06,17599.5,3.358115
Mature economies,1994,8,29380.67,18156,20261.19,48410.73,0.397475
Mature economies,1998,8,34416.33,19902,22146.55,53353.75,0.4247
Mature economies,2004,8,40198.67,23329,23603.14,65800.18,0.45163
Mature economies,2008,8,36162.33,21592,25024.01,73349.64,0.48865
Mature economies,1988,8,10976.67,7321,7573.604,10428.27,2.653434
Mature economies,1993,8,3834.667,2356,3162.435,5920.797,2.56329
Mature economies,1997,8,4744,2767,3955.445,7096.867,2.410019
Mature economies,2002,8,6847,3722,5318.281,9955.801,2.325342
Mature economies,2008,8,10452.67,5684,9571.235,15646.97,2.266094
M. East & N. Africa,1991,8,3607,1857,1619.467,2819.802,26.10777
M. East & N. Africa,1998,8,3027.333,1557,1589.092,2928.327,28.08268
M. East & N. Africa,2001,8,3171,1601,1583.467,3096.742,29.77032
M. East & N. Africa,2007,8,3815,1934,1967.226,3801.652,31.32145
"Russia, C. Asia, SE Europe",1998,8,1774.667,917,1243.001,1674.233,3.652771
"Russia, C. Asia, SE Europe",2003,8,2427,1317,1659.323,2035.544,3.612869
"Russia, C. Asia, SE Europe",2008,8,4012.333,2192,2486.22,2768.273,3.570107
Sub-Saharan Africa,1993,8,915.3333,436,664.1911,916.8538,12.3435
Sub-Saharan Africa,1999,8,633.3333,316,651.5555,889.9288,14.43074
Sub-Saharan Africa,2005,8,1131.333,538,642.9654,868.675,16.84248
Sub-Saharan Africa,2010,8,691.6667,336,633.5196,868.9248,19.54628
Other Asia,1998,8,6301.333,2460,908.9013,4025.875,0.263867
Other Asia,2004,8,4002.667,2118,973.9588,5761.247,0.286665
L. America & Carib.,1989,8,4166.333,2728,5027.856,9697.029,81.0101
L. America & Carib.,1994,8,8137.667,3501,5671.454,10681.85,89.1097
L. America & Carib.,1998,8,6356.667,2747,6329.404,11030.45,97.00194
L. America & Carib.,2004,8,7825.333,3499,7286.769,11959.3,103.9026
L. America & Carib.,2008,8,8215,3704,8114.927,12892.78,110.6272
"Russia, C. Asia, SE Europe",1998,8,3764.667,2305,3815.566,6829.693,1.992404
"Russia, C. Asia, SE Europe",2003,8,6382.333,3322,4225.333,7247.01,2.027819
"Russia, C. Asia, SE Europe",2008,8,7296.333,3533,6019.508,9146.609,2.052524
Sub-Saharan Africa,1994,8,641,287,555.2266,655.6137,9.313042
Sub-Saharan Africa,2001,8,979.6667,499,611.8526,825.4999,12.3801
Sub-Saharan Africa,2006,8,1137.667,590,518.9305,902.9191,14.45999
"Russia, C. Asia, SE Europe",2005,8,5496.667,3235,4198.695,8238.358,0.6275
"Russia, C. Asia, SE Europe",2008,8,7289.333,4307,7948.909,10546.4,0.629185
Other Asia,2002,8,1916.667,1083,1193.894,2335.1,2.485177
Other Asia,2007,8,3742.333,2021,1615.768,3324.185,2.667474
Sub-Saharan Africa,1996,8,742.3333,360,389.2818,415.9574,17.29552
Sub-Saharan Africa,2002,8,933.3333,439,433.4856,577.9198,19.72101
Sub-Saharan Africa,2007,8,1164.333,558,538.2116,727.2224,22.3329
Sub-Saharan Africa,1987,8,1493,732,1392.179,1822.795,1.892328
Sub-Saharan Africa,1993,8,1872,850,915.24,1782.219,2.166948
Sub-Saharan Africa,2000,8,2047.333,1060,1092.167,1770.758,2.495316
Sub-Saharan Africa,2004,8,1912.667,965,1208.206,1816.609,2.882003
Sub-Saharan Africa,2008,8,1984,1012,1053.401,2226.734,3.295254
Sub-Saharan Africa,1997,8,781.6667,354,299.3093,667.6805,10.61235
Sub-Saharan Africa,2004,8,790.3333,409,406.7,646.1216,12.14495
Sub-Saharan Africa,2010,8,1285.667,616,381.916,795.4921,14.00511
Other Asia,1987,8,5980.667,2798,1959.279,5511.516,17.20007
Other Asia,1992,8,6551.333,3037,2755.56,7472.627,19.70126
Other Asia,1997,8,8632,3938,3514.631,10252.74,22.32245
Other Asia,2004,8,4664,2452,3967.843,11178.21,25.06018
Other Asia,2009,8,10170,4797,5120.799,12526.28,27.50201
Sub-Saharan Africa,1993,8,5024,1761,1977.614,4113.73,1.558055
Sub-Saharan Africa,2003,8,4510.667,1749,2559.435,4683.351,2.008342
Sub-Saharan Africa,1994,8,726.6667,365,439.3609,622.794,8.578542
Sub-Saharan Africa,2007,8,1152.667,633,406.541,621.6127,14.45001
Sub-Saharan Africa,1986,8,1066.667,559,573.7988,1240.218,92.7313
Sub-Saharan Africa,1992,8,1003,482,781.4259,1454.772,104.9316
Sub-Saharan Africa,1996,8,997,472,755.2601,1447.327,117.9834
Sub-Saharan Africa,2003,8,984.3333,486,913.116,1577.12,133.0671
Sub-Saharan Africa,2009,8,1044,479,1094.352,2030.464,150.6657
L. America & Carib.,1993,8,3082.333,1287,1219.757,1750.878,4.430182
L. America & Carib.,1998,8,3603.667,1566,1533.932,1981.833,4.911886
L. America & Carib.,2005,8,4093.667,1811,1824,2335.564,5.288271
L. America & Carib.,2009,8,3646.667,1695,2050.794,2424.855,5.635577
Mature economies,1987,8,16591.33,9574,12143.28,23805.72,14.76009
Mature economies,1991,8,22436.67,12898,13243.03,26705.36,15.29037
Mature economies,1998,8,21977.33,13123,15346.28,31393.27,15.70721
Mature economies,2005,8,25545,15895,16875.42,35104.49,16.2253
Mature economies,2008,8,25959,15590,17202.36,38105.95,16.44559
Mature economies,1995,8,20371.67,12821,13392.17,37810.65,4.311991
Mature economies,2000,8,25347.33,15524,15884.78,43974.8,4.431464
Mature economies,2004,8,29415,17418,17791.54,46741.64,4.564855
Mature economies,2008,8,29846.33,18630,20151.37,48583.24,4.768212
Other Asia,1996,8,1094,518,507.9304,829.1172,23.25505
Other Asia,2003,8,1331.667,648,628.9,918.8527,26.14353
Other Asia,2010,8,1451.667,817,713.6405,1079.353,28.90536
Mature economies,1986,8,22340.67,12046,10418.6,19328.11,3.35
Mature economies,1991,8,30797.33,15347,10330.97,18236.72,3.5722
Mature economies,1998,8,19753,10549,11979.4,20901.72,3.815
Other Asia,1987,8,808.6667,453,1038.44,1505.339,105.3325
Other Asia,1993,8,1272.333,757,1157.319,1723.949,121.0299
Other Asia,1998,8,1323.333,744,1276.333,1790.549,137.8082
Other Asia,2004,8,1369.667,789,1372.58,2027.659,153.1399
Other Asia,2007,8,1349.667,789,1553.311,2321.825,167.4423
L. America & Carib.,1991,8,6227.667,2579,2798.16,6509.381,2.569672
L. America & Carib.,1997,8,8254,3406,3480.417,7527.556,2.843276
L. America & Carib.,2003,8,8314,3492,4425.273,8240.258,3.125565
L. America & Carib.,2009,8,7310,3224,4664.719,11855.64,3.406487
L. America & Carib.,1994,8,4281.667,1959,3100.093,4987.648,22.98018
L. America & Carib.,1998,8,5909,2494,3387.917,5501.92,25.07914
L. America & Carib.,2003,8,6334,2697,3567.746,5831.292,26.91634
L. America & Carib.,2008,8,6550,3006,4610.203,7967.33,28.46334
Other Asia,1988,8,1784.667,900,1460.717,2453.37,58.57207
